Log,Key Phrases,Cluster,Root Cause
DF Runtime Exception during retrieveDataError Code: 3050Exception Message:CACHE_ONLY_REQUEST flag enabled and there is no full match with the requested selection in cache.,"group level item rules,errorMessage,groupLevelId,CDM",1,group level item
"Exception in Datamatics sync feign.FeignException$InternalServerError: [500] during [POST] to [http://10.210.133.132/ap/pir/v0/asb/test/queue/ocr/response] [PirAsbServiceFeignClient#pushOcrResponse(String)]: [{""timestamp"":1728205855545,""status"":500,""error"":""Internal Server Error"",""message"":"""",""path"":""/pir/v0/asb/test/queue/ocr/response""}]","1 (size=1KB) traces,processor,WARN,writer,ddagent,Error,ConnectException,datadog-agent,5 minutes",3,"1 (size=1KB) traces,processor,WARN,writer,ddagent,Error,ConnectException,datadog-agent,5"
"{errorMessage=Error while calling Security CatalogFor dataset id 198874 dataViewId OrderId_2390 not found or not entitled to, status=ERROR}",wallet,0,wallet
Unable to create the wallet,wallet,0,wallet
Receiving empty or null Map of inactive version and master ids from DMDS,wallet,0,wallet
Unable to create the wallet,"filter objectRefId,Error Code,3001Exception Message,dataItem Label,ErrorInfos,Periods,FilterValues,Months",2,"filter Code,3001Exception objectRefId,Error"
"<0.121935099.0> operation none caused a connection exception connection_forced: ""broker forced connection closure with reason 'shutdown'""","group level item rules,groupLevelId,CDM",1,group level item
DF Runtime Exception during retrieveDataError Code: 3050Exception Message:CACHE_ONLY_REQUEST flag enabled and there is no full match with the requested selection in cache.,"filter objectRefId,Error Code,3001Exception Message,dataItem Label,ErrorInfos,Periods,FilterValues,Months",2,"filter Code,3001Exception objectRefId,Error"
DF Runtime Exception during retrieveDataError Code: 3050Exception Message:CACHE_ONLY_REQUEST flag enabled and there is no full match with the requested selection in cache.,wallet,0,wallet
"org.springframework.web.client.HttpServerErrorException$InternalServerError: 500 : ""<Map><timestamp>2024-10-06T08:49:44.264+00:00</timestamp><status>500</status><error>Internal Server Error</error><path>/api/v2/schedulers/data</path></Map>""","profile Status,502 Bad Gateway,trace,datadog,WARN,uploader,errors,5 minutes",4,"No Suitable Adapter,137182/"
"Exception in Datamatics sync feign.FeignException$InternalServerError: [500] during [POST] to [http://10.210.133.132/ap/pir/v0/asb/test/queue/ocr/response] [PirAsbServiceFeignClient#pushOcrResponse(String)]: [{""timestamp"":1728204626847,""status"":500,""error"":""Internal Server Error"",""message"":"""",""path"":""/pir/v0/asb/test/queue/ocr/response""}]",wallet,0,wallet
"<0.121968446.0> operation none caused a connection exception connection_forced: ""broker forced connection closure with reason 'shutdown'""",wallet,0,wallet
ErrorCode:3006: df.cache.error Custom Message :Exception occurred while executing dfc findRequest query - processing as new request ErrorMessage :Exception in DFCacheServiceImpl - findRequest,"HTTP conditional header(s,blob file name,Total duration,errorMessage,DIMENSIONCACHE,FMSCHEMA,SQL_GEN_DATA_CACHE_V,tableInfo,cause,information",7,file stream HTTP
"org.springframework.web.client.HttpServerErrorException$InternalServerError: 500 : ""<Map><timestamp>2024-10-06T08:47:39.246+00:00</timestamp><status>500</status><error>Internal Server Error</error><path>/api/v2/schedulers/data</path></Map>""","group level item rules,groupLevelId,CDM.",1,group level item
Receiving empty or null Map of inactive version and master ids from DMDS,wallet,0,wallet
Receiving empty or null Map of inactive version and master ids from DMDS,"Error Code,3044Exception Message,dataitem Id,ErrorInfos,PRDC,SQLInfo,dimension",2,"filter Code,3001Exception objectRefId,Error"
DF Runtime Exception during retrieveDataError Code: 3050Exception Message:CACHE_ONLY_REQUEST flag enabled and there is no full match with the requested selection in cache.,wallet,0,wallet
Exception in DFCacheServiceImpl - findRequest,"1 (size=1KB) traces,processor,WARN,writer,ddagent,Error,ConnectException,datadog-agent,5 minutes",3,"1 (size=1KB) traces,processor,WARN,writer,ddagent,Error,ConnectException,datadog-agent,5"
"Exception in Datamatics sync feign.FeignException$InternalServerError: [500] during [POST] to [http://10.210.133.132/ap/pir/v0/asb/test/queue/ocr/response] [PirAsbServiceFeignClient#pushOcrResponse(String)]: [{""timestamp"":1728204571300,""status"":500,""error"":""Internal Server Error"",""message"":"""",""path"":""/pir/v0/asb/test/queue/ocr/response""}]","group level item rules,groupLevelId,CDM",1,group level item
"{errorMessage=No Suitable Adapter found for 46833/ dataset does not exist, status=ERROR}",wallet,0,wallet
"{errorMessage=Error while calling Security CatalogFor dataset id 241066 dataViewId OrderId_6957 not found or not entitled to, status=ERROR}",wallet,0,wallet
"{errorMessage=Attribute groupLevelId not present/ Empty, status=ERROR}","group level item rules,REST Error Response,Payload,FAILURE,statusCode,transactionId,responseId,CSDMDS025fb4b57fae4822b0efcd467cef2a08,errorCode,errorMessage,validation,groupLevelId,CDM,duration,responseTime,errorDetail,selection,errorInfos",6,group level item
"<0.121967796.0> operation none caused a connection exception connection_forced: ""broker forced connection closure with reason 'shutdown'""","group level item rules,groupLevelId,CDM",1,group level item
"{errorMessage=Error while calling Security CatalogDataset Id is Not Found, status=ERROR}","group level item rules,errorMessage,groupLevelId,CDM",1,group level item
ErrorCode:3006: df.cache.error Custom Message :Exception occurred while executing dfc findRequest query - processing as new request ErrorMessage :Exception in DFCacheServiceImpl - findRequest,"group level item rules,REST Error Response,Payload,FAILURE,statusCode,transactionId,responseId,CSDMDSa19673345840445090a6b90650c8ff0c,errorCode,errorMessage,validation,groupLevelId,CDM,duration,responseTime,errorDetail,selection,errorInfos",6,group level item
Receiving empty or null Map of inactive version and master ids from DMDS,wallet,0,wallet
Exception in DFCacheServiceImpl - findRequest,"group level item rules,groupLevelId,CDM",1,group level item
"{errorMessage=Error while calling Security CatalogDataset Id is Not Found, status=ERROR}",wallet,0,wallet
DF Runtime Exception during retrieveDataError Code: 3050Exception Message:CACHE_ONLY_REQUEST flag enabled and there is no full match with the requested selection in cache.,"group level item rules,errorMessage,groupLevelId,CDM",1,group level item
"Exception in Datamatics sync feign.FeignException$InternalServerError: [500] during [POST] to [http://10.210.133.132/ap/pir/v0/asb/test/queue/ocr/response] [PirAsbServiceFeignClient#pushOcrResponse(String)]: [{""timestamp"":1728205445368,""status"":500,""error"":""Internal Server Error"",""message"":"""",""path"":""/pir/v0/asb/test/queue/ocr/response""}]","Security CatalogFor dataset,134265 dataViewId OrderId,errorMessage",5,"Security dataViewId CatalogFor,Error,dataset"
ErrorCode:3006: df.cache.error Custom Message :Exception occurred while executing dfc findRequest query - processing as new request ErrorMessage :Exception in DFCacheServiceImpl - findRequest,"DENY,dataset,user,report_builder,nielseniq",5,"Security dataViewId CatalogFor,Error,dataset"
Exception in DFCacheServiceImpl - findRequest,wallet,0,wallet
"ErrorCode:1005: df.blob.access.error Custom Message : Exception occurred while processing inside retrive dot full request could be read blob - processing as new request ErrorMessage :ErrorInfos: [ Error while downloading blob file name: DFCACHE/45335/Preview-Response/DotData-20950-45335.bin, Total duration in ms: 64. ]Error Code: 1005Exception Message:The specified blob does not exist.","Error Code,3044Exception Message,dataitem Id,ErrorInfos,PRDC,SQLInfo,CSTM,dimension",2,"filter Code,3001Exception objectRefId,Error"
Exception in DFCacheServiceImpl - findRequest,wallet,0,wallet
Exception in DFCacheServiceImpl - findRequest,"filter objectRefId,Drug Retailers,Error Code,3001Exception Message,ErrorInfos,Markets,FilterValues,dataitem,1000",2,"filter Code,3001Exception objectRefId,Error"
Unable to create the wallet,wallet,0,wallet
DF Runtime Exception during retrieveDataError Code: 3050Exception Message:CACHE_ONLY_REQUEST flag enabled and there is no full match with the requested selection in cache.,wallet,0,wallet
Exception in DFCacheServiceImpl - findRequest,"filter objectRefId,Drug Retailers,Error Code,3001Exception Message,ErrorInfos,Markets,FilterValues,dataitem,1000",2,"filter Code,3001Exception objectRefId,Error"
"Exception in Datamatics sync feign.FeignException$InternalServerError: [500] during [POST] to [http://10.210.133.132/ap/pir/v0/asb/test/queue/ocr/response] [PirAsbServiceFeignClient#pushOcrResponse(String)]: [{""timestamp"":1728206288539,""status"":500,""error"":""Internal Server Error"",""message"":"""",""path"":""/pir/v0/asb/test/queue/ocr/response""}]","group level item rules,groupLevelId,CDM",1,group level item
Exception in DFCacheServiceImpl - findRequest,"group level item rules,REST Error Response,Payload,FAILURE,statusCode,transactionId,responseId,CSDMDS54d35512906f4dabb6ccf1a5407f0600,errorCode,errorMessage,validation,groupLevelId,CDM,duration,responseTime,errorDetail,errorInfos",6,group level item
"{errorMessage=Error while calling Security CatalogDataset Id is Not Found, status=ERROR}","group level item rules,groupLevelId,CDM",1,group level item
DF Runtime Exception during retrieveDataError Code: 3050Exception Message:CACHE_ONLY_REQUEST flag enabled and there is no full match with the requested selection in cache.,wallet,0,wallet
Unable to create the wallet,wallet,0,wallet
Unable to create the wallet,"group level item rules,groupLevelId,CDM",1,group level item
"{errorMessage=Error while calling Security CatalogFor dataset id 223261 dataViewId OrderId_3461 not found or not entitled to, status=ERROR}","group level item rules,errorMessage,groupLevelId,CDM",1,group level item
"Exception in Datamatics sync feign.FeignException$InternalServerError: [500] during [POST] to [http://10.210.133.132/ap/pir/v0/asb/test/queue/ocr/response] [PirAsbServiceFeignClient#pushOcrResponse(String)]: [{""timestamp"":1728205721075,""status"":500,""error"":""Internal Server Error"",""message"":"""",""path"":""/pir/v0/asb/test/queue/ocr/response""}]","group level item rules,REST Error Response,dmds.validation,Payload,FAILURE,statusCode,transactionId,responseId,CSDMDScbe3946a10c341d787e524f2ca0e31c6,errorCode,errorMessage,selection,groupLevelId,CDM,duration,responseTime,errorDetail,errorInfos",6,group level item
"Exception in Datamatics sync feign.FeignException$InternalServerError: [500] during [POST] to [http://10.210.133.132/ap/pir/v0/asb/test/queue/ocr/response] [PirAsbServiceFeignClient#pushOcrResponse(String)]: [{""timestamp"":1728206041849,""status"":500,""error"":""Internal Server Error"",""message"":"""",""path"":""/pir/v0/asb/test/queue/ocr/response""}]","group level item rules,REST Error Response,Payload,FAILURE,statusCode,transactionId,responseId,CSDMDSb1feceb056f64ef5a82521a8af5b24d1,errorCode,errorMessage,validation,groupLevelId,CDM,duration,responseTime,errorDetail,errorInfos",6,group level item
"{errorMessage=Error while calling Security CatalogDataset Id is Not Found, status=ERROR}","group level item rules,groupLevelId,CDM",1,group level item
"Exception in Datamatics sync feign.FeignException$InternalServerError: [500] during [POST] to [http://10.210.133.132/ap/pir/v0/asb/test/queue/ocr/response] [PirAsbServiceFeignClient#pushOcrResponse(String)]: [{""timestamp"":1728204402985,""status"":500,""error"":""Internal Server Error"",""message"":"""",""path"":""/pir/v0/asb/test/queue/ocr/response""}]","group level item rules,errorMessage,groupLevelId,CDM",1,group level item
"{errorMessage=values attribute should be present and not empty in Filter, status=ERROR}","group level item rules,REST Error Response,Payload,FAILURE,statusCode,transactionId,responseId,CSDMDSf15f0e5e125049888f5fa2287349917b,errorCode,errorMessage,validation,groupLevelId,CDM,duration,responseTime,errorDetail,errorInfos",6,group level item
Receiving empty or null Map of inactive version and master ids from DMDS,"group level item rules,groupLevelId,CDM",1,group level item
DF Runtime Exception during retrieveDataError Code: 3050Exception Message:CACHE_ONLY_REQUEST flag enabled and there is no full match with the requested selection in cache.,wallet,0,wallet
"Exception in Datamatics sync feign.FeignException$InternalServerError: [500] during [POST] to [http://10.210.133.132/ap/pir/v0/asb/test/queue/ocr/response] [PirAsbServiceFeignClient#pushOcrResponse(String)]: [{""timestamp"":1728205752794,""status"":500,""error"":""Internal Server Error"",""message"":"""",""path"":""/pir/v0/asb/test/queue/ocr/response""}]","group level item rules,groupLevelId,CDM",1,group level item
"Exception in Datamatics sync feign.FeignException$InternalServerError: [500] during [POST] to [http://10.210.133.132/ap/pir/v0/asb/test/queue/ocr/response] [PirAsbServiceFeignClient#pushOcrResponse(String)]: [{""timestamp"":1728205489148,""status"":500,""error"":""Internal Server Error"",""message"":"""",""path"":""/pir/v0/asb/test/queue/ocr/response""}]","group level item rules,groupLevelId,CDM",1,group level item
"Exception in Datamatics sync feign.FeignException$InternalServerError: [500] during [POST] to [http://10.210.133.132/ap/pir/v0/asb/test/queue/ocr/response] [PirAsbServiceFeignClient#pushOcrResponse(String)]: [{""timestamp"":1728205949720,""status"":500,""error"":""Internal Server Error"",""message"":"""",""path"":""/pir/v0/asb/test/queue/ocr/response""}]","group level item rules,REST Error Response,Payload,FAILURE,statusCode,transactionId,responseId,CSDMDS823e8a30300a40a391c8620fae535f11,errorCode,errorMessage,validation,groupLevelId,CDM,duration,responseTime,errorDetail,selection,errorInfos",6,group level item
Unable to create the wallet,"group level item rules,groupLevelId,CDM",1,group level item
ErrorCode:3006: df.cache.error Custom Message :Exception occurred while executing dfc findRequest query - processing as new request ErrorMessage :Exception in DFCacheServiceImpl - findRequest,"group level item rules,groupLevelId,CDM",1,group level item
Exception in DFCacheServiceImpl - findRequest,"group level item rules,groupLevelId,CDM",1,group level item
"Exception in Datamatics sync feign.FeignException$InternalServerError: [500] during [POST] to [http://10.210.133.132/ap/pir/v0/asb/test/queue/ocr/response] [PirAsbServiceFeignClient#pushOcrResponse(String)]: [{""timestamp"":1728205520948,""status"":500,""error"":""Internal Server Error"",""message"":"""",""path"":""/pir/v0/asb/test/queue/ocr/response""}]","group level item rules,REST Error Response,Payload,FAILURE,statusCode,transactionId,responseId,CSDMDScc19fd11806248b8b5827a35bda86399,errorCode,errorMessage,validation,groupLevelId,CDM,duration,responseTime,errorDetail,errorInfos",6,group level item
DF Runtime Exception during retrieveDataError Code: 3050Exception Message:CACHE_ONLY_REQUEST flag enabled and there is no full match with the requested selection in cache.,"group level item rules,groupLevelId,CDM",1,group level item
"Exception in Datamatics sync feign.FeignException$InternalServerError: [500] during [POST] to [http://10.210.133.132/ap/pir/v0/asb/test/queue/ocr/response] [PirAsbServiceFeignClient#pushOcrResponse(String)]: [{""timestamp"":1728204764284,""status"":500,""error"":""Internal Server Error"",""message"":"""",""path"":""/pir/v0/asb/test/queue/ocr/response""}]",wallet,0,wallet
DF Runtime Exception during retrieveDataError Code: 3050Exception Message:CACHE_ONLY_REQUEST flag enabled and there is no full match with the requested selection in cache.,wallet,0,wallet
DF Runtime Exception during retrieveDataError Code: 3050Exception Message:CACHE_ONLY_REQUEST flag enabled and there is no full match with the requested selection in cache.,"filter objectRefId,Error Code,3001Exception Message,dataItem Label,ErrorInfos,Periods,FilterValues,Years",2,"filter Code,3001Exception objectRefId,Error"
"Exception in Datamatics sync feign.FeignException$InternalServerError: [500] during [POST] to [http://10.210.133.132/ap/pir/v0/asb/test/queue/ocr/response] [PirAsbServiceFeignClient#pushOcrResponse(String)]: [{""timestamp"":1728204473300,""status"":500,""error"":""Internal Server Error"",""message"":"""",""path"":""/pir/v0/asb/test/queue/ocr/response""}]",wallet,0,wallet
"{errorMessage=categoryId - null, status=ERROR}","group level item rules,errorMessage,groupLevelId,CDM",1,group level item
DF Runtime Exception during retrieveDataError Code: 3050Exception Message:CACHE_ONLY_REQUEST flag enabled and there is no full match with the requested selection in cache.,"filter objectRefId,Error Code,3001Exception Message,dataItem Label,ErrorInfos,Periods,FilterValues,Years",2,"filter Code,3001Exception objectRefId,Error"
"Exception in Datamatics sync feign.FeignException$InternalServerError: [500] during [POST] to [http://10.210.133.132/ap/pir/v0/asb/test/queue/ocr/response] [PirAsbServiceFeignClient#pushOcrResponse(String)]: [{""timestamp"":1728206414153,""status"":500,""error"":""Internal Server Error"",""message"":"""",""path"":""/pir/v0/asb/test/queue/ocr/response""}]",wallet,0,wallet
"Exception in Datamatics sync feign.FeignException$InternalServerError: [500] during [POST] to [http://10.210.133.132/ap/pir/v0/asb/test/queue/ocr/response] [PirAsbServiceFeignClient#pushOcrResponse(String)]: [{""timestamp"":1728205618651,""status"":500,""error"":""Internal Server Error"",""message"":"""",""path"":""/pir/v0/asb/test/queue/ocr/response""}]","1 (size=1KB) traces,processor,WARN,writer,ddagent,Error,ConnectException,datadog-agent,5 minutes",3,"1 (size=1KB) traces,processor,WARN,writer,ddagent,Error,ConnectException,datadog-agent,5"
"Exception in Datamatics sync feign.FeignException$InternalServerError: [500] during [POST] to [http://10.210.133.132/ap/pir/v0/asb/test/queue/ocr/response] [PirAsbServiceFeignClient#pushOcrResponse(String)]: [{""timestamp"":1728204851629,""status"":500,""error"":""Internal Server Error"",""message"":"""",""path"":""/pir/v0/asb/test/queue/ocr/response""}]",wallet,0,wallet
ErrorCode:3006: df.cache.error Custom Message : Exception occurred while processing inside retrive dot full request could be read blob - processing as new request ErrorMessage :Error Code: 3006Exception Message:Column info is missing in the DF Cache for the column object's ref id 2196,wallet,0,wallet
Exception in DFCacheServiceImpl - findRequest,wallet,0,wallet
Unable to create the wallet,"1 (size=1KB) traces,processor,WARN,writer,ddagent,Error,ConnectException,datadog-agent,5 minutes",3,"1 (size=1KB) traces,processor,WARN,writer,ddagent,Error,ConnectException,datadog-agent,5"
"{errorMessage=Error while calling Security CatalogDataset Id is Not Found, status=ERROR}","group level item rules,REST Error Response,dmds.validation,Payload,FAILURE,statusCode,transactionId,EE0D3E7B49E544C69D2043DA108C097D-PRD,responseId,CSDMDS2b5d594afc614522a74eea210372d38a,errorCode,errorMessage,groupLevelId,CDM,duration,responseTime,selection,errorInfos",6,group level item
"time=""2024-10-06T08:54:46Z"" level=error msg=""Healthz Server Error: http: Server closed""","group level item rules,groupLevelId,CDM",1,group level item
"<0.9510436.0> operation none caused a connection exception connection_forced: ""broker forced connection closure with reason 'shutdown'""",wallet,0,wallet
"Exception in Datamatics sync feign.FeignException$InternalServerError: [500] during [POST] to [http://10.210.133.132/ap/pir/v0/asb/test/queue/ocr/response] [PirAsbServiceFeignClient#pushOcrResponse(String)]: [{""timestamp"":1728205121375,""status"":500,""error"":""Internal Server Error"",""message"":"""",""path"":""/pir/v0/asb/test/queue/ocr/response""}]","group level item rules,groupLevelId,CDM",1,group level item
"Exception in Datamatics sync feign.FeignException$InternalServerError: [500] during [POST] to [http://10.210.133.132/ap/pir/v0/asb/test/queue/ocr/response] [PirAsbServiceFeignClient#pushOcrResponse(String)]: [{""timestamp"":1728205736856,""status"":500,""error"":""Internal Server Error"",""message"":"""",""path"":""/pir/v0/asb/test/queue/ocr/response""}]","group level item rules,REST Error Response,Payload,FAILURE,statusCode,transactionId,responseId,CSDMDS263e9873d6dd43ce841e1a8380b9246a,errorCode,errorMessage,validation,groupLevelId,CDM,duration,responseTime,errorDetail,errorInfos",6,group level item
"Exception in Datamatics sync feign.FeignException$InternalServerError: [500] during [POST] to [http://10.210.133.132/ap/pir/v0/asb/test/queue/ocr/response] [PirAsbServiceFeignClient#pushOcrResponse(String)]: [{""timestamp"":1728205575603,""status"":500,""error"":""Internal Server Error"",""message"":"""",""path"":""/pir/v0/asb/test/queue/ocr/response""}]","group level item rules,groupLevelId,CDM",1,group level item
Receiving empty or null Map of inactive version and master ids from DMDS,"group level item rules,REST Error Response,dmds.validation,Payload,FAILURE,statusCode,transactionId,responseId,CSDMDScb891b68dd164f60a4be0ec9743e6b50,errorCode,errorMessage,selection,groupLevelId,CDM,duration,responseTime,errorDetail,errorInfos",6,group level item
DF Runtime Exception during retrieveDataError Code: 3050Exception Message:CACHE_ONLY_REQUEST flag enabled and there is no full match with the requested selection in cache.,"group level item rules,groupLevelId,CDM",1,group level item
Unable to create the wallet,wallet,0,wallet
"Exception in Datamatics sync feign.FeignException$InternalServerError: [500] during [POST] to [http://10.210.133.132/ap/pir/v0/asb/test/queue/ocr/response] [PirAsbServiceFeignClient#pushOcrResponse(String)]: [{""timestamp"":1728206000848,""status"":500,""error"":""Internal Server Error"",""message"":"""",""path"":""/pir/v0/asb/test/queue/ocr/response""}]","group level item rules,groupLevelId,CDM",1,group level item
Exception in DFCacheServiceImpl - findRequest,categoryId,4,"No Suitable Adapter,137182/"
Unable to create the wallet,"group level item rules,groupLevelId,CDM",1,group level item
Receiving empty or null Map of inactive version and master ids from DMDS,wallet,0,wallet
DF Runtime Exception during retrieveDataError Code: 3050Exception Message:CACHE_ONLY_REQUEST flag enabled and there is no full match with the requested selection in cache.,"group level item rules,REST Error Response,dmds.validation,Payload,FAILURE,statusCode,transactionId,7F5184FC9C41427787625AF8AD3EBD5F-PRD,responseId,CSDMDS92e406b0d9074436a0fb0532051c0176,errorCode,errorMessage,groupLevelId,CDM,duration,responseTime,errorDetail,selection,errorInfos",6,group level item
ErrorCode:3006: df.cache.error Custom Message :Exception occurred while executing dfc findRequest query - processing as new request ErrorMessage :Exception in DFCacheServiceImpl - findRequest,"group level item rules,groupLevelId,CDM",1,group level item
"<0.8760317.0> operation none caused a connection exception connection_forced: ""broker forced connection closure with reason 'shutdown'""",wallet,0,wallet
"{errorMessage=values attribute should be present and not empty in Filter, status=ERROR}",wallet,0,wallet
ErrorCode:3006: df.cache.error Custom Message :Exception occurred while executing dfc findRequest query - processing as new request ErrorMessage :Exception in DFCacheServiceImpl - findRequest,"group level item rules,groupLevelId,CDM",1,group level item
"{errorMessage=Attribute groupLevelId not present/ Empty, status=ERROR}","group level item rules,REST Error Response,Payload,FAILURE,statusCode,transactionId,483703481AC944529161630D3E7F64C8-PRD,responseId,CSDMDSefc40aae42ae4d93a69d58069bd9a83b,errorCode,errorMessage,validation,groupLevelId,CDM,duration,responseTime,errorDetail,errorInfos",6,group level item
"{errorMessage=Error while calling Security CatalogFor dataset id 223261 dataViewId OrderId_3461 not found or not entitled to, status=ERROR}",wallet,0,wallet
Unable to create the wallet,"group level item rules,groupLevelId,CDM",1,group level item
"Exception in Datamatics sync feign.FeignException$InternalServerError: [500] during [POST] to [http://10.210.133.132/ap/pir/v0/asb/test/queue/ocr/response] [PirAsbServiceFeignClient#pushOcrResponse(String)]: [{""timestamp"":1728205545290,""status"":500,""error"":""Internal Server Error"",""message"":"""",""path"":""/pir/v0/asb/test/queue/ocr/response""}]","group level item rules,REST Error Response,Payload,FAILURE,statusCode,transactionId,responseId,CSDMDSa6e26237c66744e28e45f1e5a08bf1a4,errorCode,errorMessage,validation,groupLevelId,CDM,duration,responseTime,errorDetail,errorInfos",6,group level item
"Exception in Datamatics sync feign.FeignException$InternalServerError: [500] during [POST] to [http://10.210.133.132/ap/pir/v0/asb/test/queue/ocr/response] [PirAsbServiceFeignClient#pushOcrResponse(String)]: [{""timestamp"":1728204688237,""status"":500,""error"":""Internal Server Error"",""message"":"""",""path"":""/pir/v0/asb/test/queue/ocr/response""}]",wallet,0,wallet
Exception in DFCacheServiceImpl - findRequest,"group level item rules,groupLevelId,CDM",1,group level item
DF Runtime Exception during retrieveDataError Code: 3050Exception Message:CACHE_ONLY_REQUEST flag enabled and there is no full match with the requested selection in cache.,wallet,0,wallet
Unable to create the wallet,"HTTP conditional header(s,blob file name,Total duration,Error,DIMENSIONCACHE,FMSCHEMA,SQL_GEN_DATA_CACHE_V,tableInfo,cause,information",7,file stream HTTP
"{errorMessage=categoryId - null, status=ERROR}",wallet,0,wallet
"ErrorCode:1005: df.blob.access.error Custom Message : Exception occurred - processing as new request ErrorMessage :ErrorInfos: [ Error while downloading blob file name: DFCACHE/47297/Preview-Response/DotData-25682-47297.bin, Total duration in ms: 6. ]Error Code: 1005Exception Message:The specified blob does not exist.","HTTP conditional header(s,blob file name,Total duration,errorMessage,DIMENSIONCACHE,FMSCHEMA,SQL_GEN_DATA_CACHE_V,tableExtraJoin,cause,information",7,file stream HTTP
